DSP,Relation,DSI,Source
DSP000147,has_ingredient,DSI000193,NHP
DSP000147,has_ingredient,DSI000293,NHP
DSP000147,has_ingredient,DSI000294,NHP
DSP000147,has_ingredient,DSI000295,NHP
DSP000147,has_ingredient,DSI000296,NHP
DSP000147,has_ingredient,DSI000199,NHP
DSP000147,has_ingredient,DSI000042,NHP
DSP000148,has_ingredient,DSI000297,NHP
DSP000149,has_ingredient,DSI000298,NHP
DSP000149,has_ingredient,DSI000299,NHP
DSP000149,has_ingredient,DSI000300,NHP
DSP000149,has_ingredient,DSI000301,NHP
DSP000149,has_ingredient,DSI000041,NHP
DSP000150,has_ingredient,DSI000302,NHP
DSP000151,has_ingredient,DSI000056,NHP
DSP000152,has_ingredient,DSI000303,NHP
DSP000152,has_ingredient,DSI000304,NHP
DSP000152,has_ingredient,DSI000073,NHP
DSP000152,has_ingredient,DSI000066,NHP
DSP000152,has_ingredient,DSI000264,NHP
DSP000152,has_ingredient,DSI000305,NHP
DSP000152,has_ingredient,DSI000074,NHP
DSP000152,has_ingredient,DSI000067,NHP
DSP000152,has_ingredient,DSI000077,NHP
DSP000153,has_ingredient,DSI000302,NHP
DSP000154,has_ingredient,DSI000306,NHP
DSP000155,has_ingredient,DSI000306,NHP
DSP000156,has_ingredient,DSI000010,NHP
DSP000156,has_ingredient,DSI000307,NHP
DSP000156,has_ingredient,DSI000308,NHP
DSP000156,has_ingredient,DSI000309,NHP
DSP000157,has_ingredient,DSI000262,NHP
DSP000158,has_ingredient,DSI000310,NHP
DSP000158,has_ingredient,DSI000041,NHP
DSP000159,has_ingredient,DSI000312,NHP
DSP000160,has_ingredient,DSI000313,NHP
DSP000161,has_ingredient,DSI000314,NHP
DSP000162,has_ingredient,DSI000161,NHP
DSP000163,has_ingredient,DSI000313,NHP
DSP000164,has_ingredient,DSI000059,NHP
DSP000165,has_ingredient,DSI000071,NHP
DSP000165,has_ingredient,DSI000173,NHP
DSP000165,has_ingredient,DSI000014,NHP
DSP000165,has_ingredient,DSI000176,NHP
DSP000165,has_ingredient,DSI000187,NHP
DSP000165,has_ingredient,DSI000161,NHP
DSP000165,has_ingredient,DSI000006,NHP
DSP000166,has_ingredient,DSI000059,NHP
DSP000167,has_ingredient,DSI000085,NHP
DSP000168,has_ingredient,DSI000315,NHP
DSP000168,has_ingredient,DSI000316,NHP
DSP000168,has_ingredient,DSI000060,NHP
DSP000168,has_ingredient,DSI000317,NHP
DSP000168,has_ingredient,DSI000129,NHP
DSP000168,has_ingredient,DSI000136,NHP
DSP000168,has_ingredient,DSI000318,NHP
DSP000168,has_ingredient,DSI000180,NHP
DSP000168,has_ingredient,DSI000319,NHP
DSP000169,has_ingredient,DSI000320,NHP
DSP000169,has_ingredient,DSI000268,NHP
DSP000169,has_ingredient,DSI000172,NHP
DSP000169,has_ingredient,DSI000264,NHP
DSP000169,has_ingredient,DSI000043,NHP
DSP000169,has_ingredient,DSI000321,NHP
DSP000169,has_ingredient,DSI000322,NHP
DSP000169,has_ingredient,DSI000000,NHP
